Tanggal,Tavg,RH_avg,ff_avg,RR
03-07-2018,27.8,67,1,0
04-07-2018,28.5,72,1,0
05-07-2018,27.9,65,2,0
06-07-2018,26.8,65,2,0
07-07-2018,26.8,70,2,0
08-07-2018,27.5,68,2,0
09-07-2018,27.5,72,2,0
10-07-2018,27.4,70,2,0
11-07-2018,27,70,2,0
12-07-2018,27.3,71,2,0
13-07-2018,27.2,69,1,0
14-07-2018,27,71,2,0
15-07-2018,27.3,67,2,0
16-07-2018,26.6,68,2,0
17-07-2018,27,70,2,0
18-07-2018,27.6,72,2,0
19-07-2018,27.8,70,2,0
20-07-2018,28.2,71,2,0
21-07-2018,28.2,71,2,0
22-07-2018,28.5,73,2,0
23-07-2018,28.8,71,2,0
24-07-2018,27.2,71,2,0
25-07-2018,27,67,2,0
26-07-2018,26.8,67,2,0
27-07-2018,26.9,68,1,0
28-07-2018,27.6,69,1,0
29-07-2018,27.4,69,1,0
30-07-2018,27.8,70,2,0
31-07-2018,28,69,2,0
01-08-2018,28,69,2,0
02-08-2018,27.1,64,2,0
03-08-2018,25.9,65,1,0
04-08-2018,25.6,67,2,0
05-08-2018,26,68,2,0
06-08-2018,26,64,2,0
07-08-2018,26.3,68,2,0
08-08-2018,28.1,69,2,0
09-08-2018,28.4,68,3,0
10-08-2018,28.1,71,2,0
11-08-2018,27.2,73,2,0
12-08-2018,28,67,2,0
13-08-2018,27.6,71,2,0
14-08-2018,28,67,3,0
15-08-2018,28.1,64,2,0
16-08-2018,27.2,60,2,0
17-08-2018,26.7,61,2,0
18-08-2018,26.4,67,2,0
19-08-2018,27.3,67,3,0
20-08-2018,28.2,69,2,0
21-08-2018,28.1,70,2,0
22-08-2018,28.5,67,2,0
23-08-2018,27.6,64,2,0
24-08-2018,27.9,64,2,0
25-08-2018,27.1,63,2,0
26-08-2018,27.4,70,2,0
27-08-2018,27.9,72,2,0
28-08-2018,29.1,66,2,0
29-08-2018,28.9,66,2,0
30-08-2018,27.9,71,2,45.2
31-08-2018,28.7,68,2,0
01-09-2018,28.2,72,3,0
02-09-2018,28.5,72,1,0
