tanggal,pm10,pm25,so2,co,o3,no2,categori
2021-06-14,57,98,27,13,18,25,SEDANG
2021-06-15,56,89,42,10,16,27,SEDANG
2021-06-16,58,97,28,25,9,55,SEDANG
2021-06-17,54,90,30,17,16,41,SEDANG
2021-06-18,62,101,28,23,16,45,TIDAK SEHAT
2021-06-19,53,83,34,19,11,45,SEDANG
2021-06-20,74,123,47,26,20,58,TIDAK SEHAT
2021-06-21,50,68,23,16,12,35,SEDANG
2021-06-22,35,67,28,13,13,35,SEDANG
2021-06-23,58,103,26,14,23,28,TIDAK SEHAT
2021-06-24,64,107,39,19,17,52,TIDAK SEHAT
2021-06-25,76,129,35,30,14,63,TIDAK SEHAT
2021-06-26,45,70,39,8,16,22,SEDANG
2021-06-27,68,120,28,22,17,41,TIDAK SEHAT
2021-06-28,59,99,25,17,21,30,SEDANG
2021-06-29,72,128,35,24,21,50,TIDAK SEHAT
2021-06-30,64,106,28,16,14,33,TIDAK SEHAT
2021-07-01,55,76,27,14,20,31,SEDANG
2021-07-02,55,70,33,16,14,30,SEDANG
2021-07-03,58,81,33,12,19,25,SEDANG
2021-07-04,68,102,27,11,27,22,TIDAK SEHAT
2021-07-05,71,106,28,12,34,25,TIDAK SEHAT
2021-07-06,56,74,26,9,29,29,SEDANG
2021-07-07,64,86,34,10,22,27,SEDANG
2021-07-08,68,94,32,10,26,26,SEDANG
2021-07-09,70,101,33,9,28,25,TIDAK SEHAT
2021-07-10,64,83,35,7,24,23,SEDANG
2021-07-11,54,71,32,6,21,15,SEDANG
2021-07-12,46,59,29,5,18,13,SEDANG
2021-07-13,63,89,33,10,18,24,SEDANG
2021-07-14,53,69,28,10,17,23,SEDANG
2021-07-15,66,95,31,12,24,30,SEDANG
2021-07-16,71,97,30,11,24,29,SEDANG
2021-07-17,63,80,29,8,28,20,SEDANG
2021-07-18,63,89,31,8,32,19,SEDANG
2021-07-19,66,95,26,10,32,28,SEDANG
2021-07-20,74,100,27,15,24,24,SEDANG
2021-07-21,48,66,27,7,26,17,SEDANG
2021-07-22,53,76,31,9,24,26,SEDANG
2021-07-23,58,80,26,9,27,28,SEDANG
2021-07-24,53,79,26,13,21,34,SEDANG
2021-07-25,70,108,25,23,28,38,TIDAK SEHAT
2021-07-26,65,95,27,14,17,32,SEDANG
2021-07-27,61,91,29,10,23,28,SEDANG
2021-07-28,68,102,31,13,20,30,TIDAK SEHAT
2021-07-29,59,85,28,13,24,32,SEDANG
2021-07-30,73,105,29,12,39,35,TIDAK SEHAT
2021-07-31,54,72,26,7,27,24,SEDANG
2021-07-01,64,81,53,12,48,28,SEDANG
2021-07-02,68,81,56,14,40,27,SEDANG
2021-07-03,72,100,54,11,44,23,SEDANG
2021-07-04,94,129,51,15,50,23,TIDAK SEHAT
2021-07-05,77,111,56,12,62,20,TIDAK SEHAT
2021-07-06,64,79,51,10,55,17,SEDANG
2021-07-07,84,108,54,11,51,23,TIDAK SEHAT
2021-07-08,83,111,56,11,50,24,TIDAK SEHAT
2021-07-09,92,120,59,11,56,26,TIDAK SEHAT
2021-07-10,78,104,54,10,63,17,TIDAK SEHAT
2021-07-11,---,---,54,10,54,13,SEDANG
2021-07-12,64,---,52,9,44,13,SEDANG
2021-07-13,78,119,54,11,43,23,TIDAK SEHAT
2021-07-14,56,75,51,12,50,23,SEDANG
2021-07-15,79,111,62,11,56,26,TIDAK SEHAT
2021-07-16,85,115,53,11,53,19,TIDAK SEHAT
2021-07-17,74,99,55,10,58,20,SEDANG
2021-07-18,82,114,55,11,58,17,TIDAK SEHAT
2021-07-19,74,100,51,10,77,13,SEDANG
2021-07-20,86,113,51,14,60,19,TIDAK SEHAT
2021-07-21,54,72,52,9,58,13,SEDANG
2021-07-22,60,82,53,11,54,22,SEDANG
2021-07-23,61,---,52,9,59,20,SEDANG
2021-07-24,66,95,54,13,51,30,SEDANG
2021-07-25,81,112,55,16,54,28,TIDAK SEHAT
2021-07-26,79,109,54,12,46,22,TIDAK SEHAT
2021-07-27,82,112,56,12,41,27,TIDAK SEHAT
2021-07-28,82,113,53,13,40,28,TIDAK SEHAT
2021-07-29,69,97,52,12,53,24,SEDANG
2021-07-30,90,117,54,12,81,29,TIDAK SEHAT
2021-07-31,63,---,50,8,65,18,SEDANG
2021-07-01,64,92,48,8,22,18,SEDANG
2021-07-02,60,84,47,7,23,18,SEDANG
2021-07-03,80,124,45,10,28,17,TIDAK SEHAT
2021-07-04,86,132,44,9,28,14,TIDAK SEHAT
2021-07-05,67,105,46,7,38,15,TIDAK SEHAT
2021-07-06,68,102,44,7,32,16,TIDAK SEHAT
2021-07-07,73,109,48,8,31,17,TIDAK SEHAT
2021-07-08,71,110,50,6,33,16,TIDAK SEHAT
2021-07-09,79,119,51,7,34,17,TIDAK SEHAT
2021-07-10,67,97,51,4,31,14,SEDANG
2021-07-11,60,80,47,5,21,14,SEDANG
2021-07-12,50,---,47,4,14,11,BAIK
2021-07-13,62,99,50,8,25,18,SEDANG
2021-07-14,66,94,45,6,23,15,SEDANG
2021-07-15,80,126,49,9,28,23,TIDAK SEHAT
2021-07-16,84,123,49,7,29,16,TIDAK SEHAT
2021-07-17,70,102,49,5,31,14,TIDAK SEHAT
2021-07-18,79,121,49,5,33,16,TIDAK SEHAT
2021-07-19,80,122,48,4,33,17,TIDAK SEHAT
2021-07-20,77,110,45,5,25,18,TIDAK SEHAT
2021-07-21,54,81,45,4,19,13,SEDANG
2021-07-22,57,79,49,5,22,20,SEDANG
2021-07-23,63,91,46,5,38,16,SEDANG
2021-07-24,51,73,45,4,29,12,SEDANG
2021-07-25,68,102,47,6,32,17,TIDAK SEHAT
2021-07-26,69,103,49,6,28,17,TIDAK SEHAT
2021-07-27,64,96,50,11,30,15,SEDANG
2021-07-28,76,124,49,18,26,20,TIDAK SEHAT
2021-07-29,73,28,47,17,26,18,SEDANG
2021-07-30,75,29,51,14,43,21,SEDANG
2021-07-31,57,26,9,18,31,29,SEDANG
2021-07-01,62,114,37,13,23,27,TIDAK SEHAT
2021-07-02,59,108,40,10,18,23,TIDAK SEHAT
2021-07-03,72,141,37,13,25,20,TIDAK SEHAT
2021-07-04,84,161,38,14,27,22,TIDAK SEHAT
2021-07-05,83,153,39,13,31,26,TIDAK SEHAT
2021-07-06,58,100,38,9,31,22,SEDANG
2021-07-07,69,130,40,12,26,26,TIDAK SEHAT
2021-07-08,74,145,40,10,29,25,TIDAK SEHAT
2021-07-09,87,156,42,11,30,25,TIDAK SEHAT
2021-07-10,71,132,45,9,29,21,TIDAK SEHAT
2021-07-11,66,119,39,10,21,17,TIDAK SEHAT
2021-07-12,---,---,---,---,---,---,TIDAK ADA DATA
2021-07-13,67,119,39,11,20,23,TIDAK SEHAT
2021-07-14,57,116,39,13,20,26,TIDAK SEHAT
2021-07-15,95,174,40,15,22,24,TIDAK SEHAT
2021-07-16,71,138,37,11,24,29,TIDAK SEHAT
2021-07-17,73,134,35,9,26,19,TIDAK SEHAT
2021-07-18,75,150,37,12,32,22,TIDAK SEHAT
2021-07-19,74,140,36,11,32,21,TIDAK SEHAT
2021-07-20,80,147,38,13,26,21,TIDAK SEHAT
2021-07-21,55,102,36,9,30,18,TIDAK SEHAT
2021-07-22,57,110,39,9,28,26,TIDAK SEHAT
2021-07-23,56,104,36,10,35,25,TIDAK SEHAT
2021-07-24,56,104,37,12,27,25,TIDAK SEHAT
2021-07-25,81,148,38,22,28,24,TIDAK SEHAT
2021-07-26,68,131,39,14,24,25,TIDAK SEHAT
2021-07-27,71,140,40,12,24,26,TIDAK SEHAT
2021-07-28,73,145,39,14,24,27,TIDAK SEHAT
2021-07-29,66,130,40,12,25,25,TIDAK SEHAT
2021-07-30,83,154,39,15,37,34,TIDAK SEHAT
2021-07-31,56,100,38,9,29,22,SEDANG
2021-07-01,54,88,31,12,17,28,SEDANG
2021-07-02,56,90,29,23,11,51,SEDANG
2021-07-03,60,103,31,13,20,27,TIDAK SEHAT
2021-07-04,73,126,32,13,26,25,TIDAK SEHAT
2021-07-05,66,115,35,11,36,20,TIDAK SEHAT
2021-07-06,52,80,32,8,32,23,SEDANG
2021-07-07,60,101,36,10,31,23,TIDAK SEHAT
2021-07-08,62,108,37,10,30,23,TIDAK SEHAT
2021-07-09,65,113,40,11,34,22,TIDAK SEHAT
2021-07-10,55,85,42,6,26,17,SEDANG
2021-07-11,46,70,40,6,18,13,SEDANG
2021-07-12,39,58,28,6,14,14,SEDANG
2021-07-13,59,102,42,11,19,26,TIDAK SEHAT
2021-07-14,51,82,38,9,20,26,SEDANG
2021-07-15,75,129,35,14,26,26,TIDAK SEHAT
2021-07-16,70,114,33,11,30,22,TIDAK SEHAT
2021-07-17,57,89,32,8,32,19,SEDANG
2021-07-18,67,115,33,13,34,27,TIDAK SEHAT
2021-07-19,61,108,28,9,38,20,TIDAK SEHAT
2021-07-20,70,112,32,14,24,21,TIDAK SEHAT
2021-07-21,49,80,31,8,18,19,SEDANG
2021-07-22,51,85,37,9,22,27,SEDANG
2021-07-23,53,85,30,8,27,25,SEDANG
2021-07-24,49,83,27,11,23,32,SEDANG
2021-07-25,77,131,28,24,27,42,TIDAK SEHAT
2021-07-26,66,116,29,16,24,31,TIDAK SEHAT
2021-07-27,64,110,32,13,29,35,TIDAK SEHAT
2021-07-28,70,130,33,17,28,45,TIDAK SEHAT
2021-07-29,78,140,32,18,29,39,TIDAK SEHAT
2021-07-30,75,121,37,12,50,21,TIDAK SEHAT
2021-07-31,53,80,29,6,34,13,SEDANG
2021-08-01,51,68,25,8,29,22,SEDANG
2021-08-02,47,63,24,10,25,28,SEDANG
2021-08-03,50,68,26,11,19,35,SEDANG
2021-08-04,52,70,29,8,24,26,SEDANG
2021-08-05,52,66,29,9,21,27,SEDANG
2021-08-06,56,73,28,15,11,28,SEDANG
2021-08-07,55,71,31,7,18,18,SEDANG
2021-08-08,53,69,33,6,23,16,SEDANG
2021-08-09,52,60,30,6,25,15,SEDANG
2021-08-10,32,50,25,7,29,16,BAIK
2021-08-11,55,73,25,10,24,25,SEDANG
2021-08-12,55,70,28,8,20,19,SEDANG
2021-08-13,56,75,28,10,17,28,SEDANG
2021-08-14,65,92,30,15,24,36,SEDANG
2021-08-15,56,72,31,8,17,20,SEDANG
2021-08-16,53,70,30,8,17,19,SEDANG
2021-08-17,56,77,28,13,26,22,SEDANG
2021-08-18,59,78,25,11,27,26,SEDANG
2021-08-19,60,89,31,15,24,35,SEDANG
2021-08-20,58,84,29,11,32,34,SEDANG
2021-08-21,59,80,25,13,26,35,SEDANG
2021-08-22,59,81,28,14,25,28,SEDANG
2021-08-23,56,77,28,10,25,27,SEDANG
2021-08-24,59,87,27,12,32,30,SEDANG
2021-08-25,62,89,26,12,34,34,SEDANG
2021-08-26,56,77,27,10,22,33,SEDANG
2021-08-27,62,89,30,11,25,31,SEDANG
2021-08-28,65,93,26,11,40,27,SEDANG
2021-08-29,65,96,28,12,30,29,SEDANG
2021-08-30,79,112,27,17,39,41,TIDAK SEHAT
2021-08-31,64,86,27,12,35,33,SEDANG
2021-08-01,55,75,50,9,67,13,SEDANG
2021-08-02,52,69,50,10,59,16,SEDANG
2021-08-03,61,85,53,12,47,25,SEDANG
2021-08-04,64,89,53,9,50,14,SEDANG
2021-08-05,61,79,55,9,58,18,SEDANG
2021-08-06,76,100,58,17,38,31,SEDANG
2021-08-07,63,79,53,8,48,16,SEDANG
2021-08-08,60,78,53,9,57,12,SEDANG
2021-08-09,56,67,52,8,57,10,SEDANG
2021-08-10,36,53,48,8,55,9,SEDANG
2021-08-11,58,83,50,10,59,17,SEDANG
2021-08-12,65,88,52,10,47,18,SEDANG
2021-08-13,58,79,51,10,49,19,SEDANG
2021-08-14,69,94,53,11,53,21,SEDANG
2021-08-15,63,84,53,9,46,16,SEDANG
2021-08-16,60,80,54,9,42,17,SEDANG
2021-08-17,62,84,51,9,40,14,SEDANG
2021-08-18,59,83,51,9,42,17,SEDANG
2021-08-19,72,101,55,13,26,36,TIDAK SEHAT
2021-08-20,73,97,55,12,34,30,SEDANG
2021-08-21,60,87,51,10,29,21,SEDANG
2021-08-22,71,100,52,13,25,26,SEDANG
2021-08-23,63,86,52,9,33,13,SEDANG
2021-08-24,69,101,52,9,41,18,TIDAK SEHAT
2021-08-25,69,98,51,11,38,24,SEDANG
2021-08-26,61,84,51,9,26,18,SEDANG
2021-08-27,63,90,52,10,32,21,SEDANG
2021-08-28,76,104,51,10,41,22,TIDAK SEHAT
2021-08-29,68,97,52,10,30,16,SEDANG
2021-08-30,79,110,52,12,38,29,TIDAK SEHAT
2021-08-31,74,96,51,10,48,19,SEDANG
2021-08-01,51,66,44,9,31,11,SEDANG
2021-08-02,48,65,47,10,29,12,SEDANG
2021-08-03,45,66,48,9,30,13,SEDANG
2021-08-04,56,82,51,8,27,14,SEDANG
2021-08-05,52,82,51,11,23,15,SEDANG
2021-08-06,52,77,42,16,19,18,SEDANG
2021-08-07,59,84,45,10,23,14,SEDANG
2021-08-08,57,84,47,9,26,13,SEDANG
2021-08-09,53,69,45,7,25,10,SEDANG
2021-08-10,36,54,41,6,27,12,SEDANG
2021-08-11,61,88,44,12,30,14,SEDANG
2021-08-12,54,73,46,7,32,11,SEDANG
2021-08-13,61,91,46,11,29,16,SEDANG
2021-08-14,69,102,45,14,29,16,TIDAK SEHAT
2021-08-15,57,84,45,12,22,15,SEDANG
2021-08-16,53,79,48,9,24,15,SEDANG
2021-08-17,60,88,45,11,30,13,SEDANG
2021-08-18,58,86,43,10,35,11,SEDANG
2021-08-19,68,104,45,14,27,14,TIDAK SEHAT
2021-08-20,57,83,46,10,29,14,SEDANG
2021-08-21,53,80,44,10,33,15,SEDANG
2021-08-22,58,88,49,14,29,18,SEDANG
2021-08-23,66,100,46,13,31,17,SEDANG
2021-08-24,66,100,46,11,32,15,SEDANG
2021-08-25,57,81,44,10,33,11,SEDANG
2021-08-26,54,82,46,9,30,15,SEDANG
2021-08-27,62,92,47,9,31,13,SEDANG
2021-08-28,63,94,46,10,42,17,SEDANG
2021-08-29,67,28,46,12,35,15,SEDANG
2021-08-30,87,27,46,16,38,17,SEDANG
2021-08-31,64,27,10,19,38,32,SEDANG
2021-08-01,51,86,39,8,30,22,SEDANG
2021-08-02,42,81,38,9,27,20,SEDANG
2021-08-03,55,104,38,12,21,25,TIDAK SEHAT
2021-08-04,51,87,41,7,23,20,SEDANG
2021-08-05,53,90,38,8,21,19,SEDANG
2021-08-06,59,105,37,16,13,21,TIDAK SEHAT
2021-08-07,59,101,38,8,19,18,TIDAK SEHAT
2021-08-08,54,92,40,7,21,17,SEDANG
2021-08-09,48,82,40,6,26,16,SEDANG
2021-08-10,35,68,38,6,30,19,SEDANG
2021-08-11,56,102,39,11,27,23,TIDAK SEHAT
2021-08-12,57,104,40,8,21,20,TIDAK SEHAT
2021-08-13,55,101,40,11,19,25,TIDAK SEHAT
2021-08-14,58,98,41,9,21,21,SEDANG
2021-08-15,63,114,39,11,15,21,TIDAK SEHAT
2021-08-16,55,100,41,8,17,21,SEDANG
2021-08-17,59,103,41,8,24,20,TIDAK SEHAT
2021-08-18,58,97,38,9,30,20,SEDANG
2021-08-19,67,119,42,13,28,28,TIDAK SEHAT
2021-08-20,64,106,40,11,28,23,TIDAK SEHAT
2021-08-21,50,85,39,8,25,21,SEDANG
2021-08-22,74,134,43,14,22,29,TIDAK SEHAT
2021-08-23,63,106,40,10,24,20,TIDAK SEHAT
2021-08-24,61,110,42,11,26,24,TIDAK SEHAT
2021-08-25,62,106,42,9,26,28,TIDAK SEHAT
2021-08-26,53,91,40,7,28,19,SEDANG
2021-08-27,58,105,39,10,28,22,TIDAK SEHAT
2021-08-28,65,123,38,10,36,23,TIDAK SEHAT
2021-08-29,66,122,39,12,28,25,TIDAK SEHAT
2021-08-30,76,140,41,16,30,31,TIDAK SEHAT
2021-08-31,61,109,41,10,32,26,TIDAK SEHAT
2021-08-01,44,70,30,8,29,11,SEDANG
2021-08-02,46,75,27,8,27,12,SEDANG
2021-08-03,53,80,30,9,27,21,SEDANG
2021-08-04,46,74,33,7,26,18,SEDANG
2021-08-05,50,78,30,9,17,21,SEDANG
2021-08-06,57,94,31,20,12,52,SEDANG
2021-08-07,50,71,37,7,19,18,SEDANG
2021-08-08,49,73,39,7,23,13,SEDANG
2021-08-09,45,61,39,4,21,14,SEDANG
2021-08-10,26,52,27,6,24,14,SEDANG
2021-08-11,54,92,29,11,25,25,SEDANG
2021-08-12,54,78,32,7,27,18,SEDANG
2021-08-13,61,100,33,11,21,32,SEDANG
2021-08-14,73,116,38,14,26,40,TIDAK SEHAT
2021-08-15,62,87,33,12,17,30,SEDANG
2021-08-16,51,74,35,7,22,20,SEDANG
2021-08-17,59,89,32,8,26,19,SEDANG
2021-08-18,62,97,28,9,30,17,SEDANG
2021-08-19,63,106,38,13,26,33,TIDAK SEHAT
2021-08-20,55,81,39,8,34,27,SEDANG
2021-08-21,58,89,32,10,31,24,SEDANG
2021-08-22,62,94,35,12,24,29,SEDANG
2021-08-23,59,88,31,9,22,22,SEDANG
2021-08-24,60,97,31,7,32,12,SEDANG
2021-08-25,63,95,31,10,29,20,SEDANG
2021-08-26,64,96,32,9,31,14,SEDANG
2021-08-27,61,96,34,8,29,15,SEDANG
2021-08-28,63,100,31,8,44,12,SEDANG
2021-08-29,67,111,32,10,36,13,TIDAK SEHAT
2021-08-30,83,126,35,16,32,29,TIDAK SEHAT
2021-08-31,60,92,30,7,32,14,SEDANG
2021-09-01,63,88,29,15,24,38,SEDANG
2021-09-02,60,83,29,11,30,28,SEDANG
2021-09-03,60,82,27,11,37,30,SEDANG
2021-09-04,58,77,26,10,31,28,SEDANG
2021-09-05,63,85,27,11,28,28,SEDANG
2021-09-06,68,92,31,11,26,24,SEDANG
2021-09-07,52,65,28,9,19,24,SEDANG
2021-09-08,53,76,25,16,23,34,SEDANG
2021-09-09,45,62,25,12,27,31,SEDANG
2021-09-10,51,66,27,10,25,32,SEDANG
2021-09-11,66,93,32,12,34,41,SEDANG
2021-09-12,61,80,26,10,28,27,SEDANG
2021-09-13,51,64,29,8,23,21,SEDANG
2021-09-14,31,42,24,8,20,19,BAIK
2021-09-15,54,81,29,20,20,45,SEDANG
2021-09-16,48,65,29,9,23,24,SEDANG
2021-09-17,42,66,29,7,26,20,SEDANG
2021-09-18,50,73,29,8,23,22,SEDANG
2021-09-19,53,78,26,8,33,19,SEDANG
2021-09-20,51,69,27,10,25,34,SEDANG
2021-09-21,55,81,28,11,29,36,SEDANG
2021-09-22,57,80,29,11,24,32,SEDANG
2021-09-23,54,80,29,8,27,22,SEDANG
2021-09-24,57,74,34,8,20,26,SEDANG
2021-09-25,49,67,31,7,24,20,SEDANG
2021-09-26,52,72,28,6,28,19,SEDANG
2021-09-27,51,72,27,12,22,33,SEDANG
2021-09-28,45,63,25,9,24,28,SEDANG
2021-09-29,54,76,26,12,29,38,SEDANG
2021-09-30,63,94,27,13,38,37,SEDANG
2021-09-01,79,102,55,14,30,29,TIDAK SEHAT
2021-09-02,66,89,52,10,39,19,SEDANG
2021-09-03,66,87,51,9,39,18,SEDANG
2021-09-04,62,79,50,9,37,18,SEDANG
2021-09-05,74,100,52,12,35,22,SEDANG
2021-09-06,66,87,51,10,34,13,SEDANG
2021-09-07,58,72,51,9,27,16,SEDANG
2021-09-08,64,87,52,13,27,31,SEDANG
2021-09-09,68,88,54,12,35,29,SEDANG
2021-09-10,58,77,53,9,32,20,SEDANG
2021-09-11,70,99,53,11,46,22,SEDANG
2021-09-12,66,82,51,9,36,12,SEDANG
2021-09-13,56,71,52,9,27,14,SEDANG
2021-09-14,36,47,50,8,47,15,BAIK
2021-09-15,69,95,54,17,45,35,SEDANG
2021-09-16,52,66,52,8,52,15,SEDANG
2021-09-17,46,66,51,7,53,9,SEDANG
2021-09-18,56,79,53,8,51,15,SEDANG
2021-09-19,52,73,50,8,68,10,SEDANG
2021-09-20,58,81,52,11,54,25,SEDANG
2021-09-21,61,85,52,10,58,19,SEDANG
2021-09-22,64,82,54,10,48,22,SEDANG
2021-09-23,61,85,53,8,53,13,SEDANG
2021-09-24,57,76,53,8,47,13,SEDANG
2021-09-25,55,81,52,8,50,13,SEDANG
2021-09-26,56,74,---,7,54,6,SEDANG
2021-09-27,53,77,---,11,47,17,SEDANG
2021-09-28,49,71,---,8,49,13,SEDANG
2021-09-29,54,81,57,10,63,16,SEDANG
2021-09-30,71,105,63,12,63,24,TIDAK SEHAT
2021-09-01,57,83,46,13,32,14,SEDANG
2021-09-02,65,99,46,15,29,16,SEDANG
2021-09-03,56,86,45,9,39,13,SEDANG
2021-09-04,53,77,45,9,30,13,SEDANG
2021-09-05,61,93,46,11,36,14,SEDANG
2021-09-06,73,108,48,13,29,15,TIDAK SEHAT
2021-09-07,60,84,48,11,26,15,SEDANG
2021-09-08,60,82,48,12,29,15,SEDANG
2021-09-09,48,61,46,9,31,12,SEDANG
2021-09-10,49,71,49,9,36,15,SEDANG
2021-09-11,61,89,50,10,43,16,SEDANG
2021-09-12,55,78,47,9,30,13,SEDANG
2021-09-13,51,65,47,8,26,11,SEDANG
2021-09-14,32,51,46,7,21,11,SEDANG
2021-09-15,53,81,50,17,24,22,SEDANG
2021-09-16,51,72,50,10,27,15,SEDANG
2021-09-17,47,72,49,7,29,13,SEDANG
2021-09-18,55,80,50,9,27,15,SEDANG
2021-09-19,56,81,48,10,31,12,SEDANG
2021-09-20,45,59,49,7,33,10,SEDANG
2021-09-21,54,78,50,9,35,15,SEDANG
2021-09-22,57,78,49,14,26,18,SEDANG
2021-09-23,57,82,51,10,29,16,SEDANG
2021-09-24,55,77,52,8,27,15,SEDANG
2021-09-25,54,75,50,11,22,16,SEDANG
2021-09-26,54,74,50,10,27,13,SEDANG
2021-09-27,48,71,49,12,26,16,SEDANG
2021-09-28,46,---,49,10,32,13,BAIK
2021-09-29,61,26,49,13,31,22,SEDANG
2021-09-30,67,27,49,16,40,19,SEDANG
2021-09-01,68,118,40,16,26,27,TIDAK SEHAT
2021-09-02,65,115,39,12,26,25,TIDAK SEHAT
2021-09-03,62,111,42,10,34,23,TIDAK SEHAT
2021-09-04,57,93,42,9,31,19,SEDANG
2021-09-05,69,120,43,12,27,26,TIDAK SEHAT
2021-09-06,62,109,42,9,29,16,TIDAK SEHAT
2021-09-07,56,86,42,8,21,21,SEDANG
2021-09-08,63,106,40,15,29,25,TIDAK SEHAT
2021-09-09,52,82,41,12,27,24,SEDANG
2021-09-10,45,80,42,8,26,19,SEDANG
2021-09-11,59,109,43,10,33,30,TIDAK SEHAT
2021-09-12,63,111,41,10,24,19,TIDAK SEHAT
2021-09-13,54,88,42,7,18,16,SEDANG
2021-09-14,36,61,41,6,19,15,SEDANG
2021-09-15,60,110,42,19,18,23,TIDAK SEHAT
2021-09-16,53,89,42,7,28,15,SEDANG
2021-09-17,50,85,42,6,29,14,SEDANG
2021-09-18,57,101,43,7,23,15,TIDAK SEHAT
2021-09-19,---,---,---,---,---,---,TIDAK ADA DATA
2021-09-20,---,---,---,---,---,---,TIDAK ADA DATA
2021-09-21,---,99,44,9,32,20,SEDANG
2021-09-22,---,119,44,10,22,21,TIDAK SEHAT
2021-09-23,---,116,43,9,24,18,TIDAK SEHAT
2021-09-24,---,109,46,8,21,18,TIDAK SEHAT
2021-09-25,---,102,45,7,26,16,TIDAK SEHAT
2021-09-26,---,98,45,7,33,12,SEDANG
2021-09-27,---,89,42,11,29,19,SEDANG
2021-09-28,---,69,41,6,38,15,SEDANG
2021-09-29,---,102,45,13,38,24,TIDAK SEHAT
2021-09-30,---,117,45,13,40,27,TIDAK SEHAT
2021-09-01,64,95,30,12,28,26,SEDANG
2021-09-02,62,101,28,9,25,18,TIDAK SEHAT
2021-09-03,56,92,7,6,45,9,SEDANG
2021-09-04,58,84,---,6,37,11,SEDANG
2021-09-05,57,89,---,7,36,11,SEDANG
2021-09-06,65,95,---,8,27,13,SEDANG
2021-09-07,56,77,---,6,19,17,SEDANG
2021-09-08,51,78,---,8,28,15,SEDANG
2021-09-09,47,69,---,8,32,15,SEDANG
2021-09-10,46,73,---,6,39,13,SEDANG
2021-09-11,60,98,---,8,45,16,SEDANG
2021-09-12,58,84,---,7,29,12,SEDANG
2021-09-13,51,70,---,6,20,10,SEDANG
2021-09-14,26,37,---,3,17,8,BAIK
2021-09-15,53,79,---,14,22,26,SEDANG
2021-09-16,38,59,---,4,23,14,SEDANG
2021-09-17,35,60,---,3,25,12,SEDANG
2021-09-18,46,69,---,5,27,12,SEDANG
2021-09-19,53,83,---,7,28,10,SEDANG
2021-09-20,45,65,---,5,30,10,SEDANG
2021-09-21,47,77,---,6,34,13,SEDANG
2021-09-22,53,78,---,7,25,16,SEDANG
2021-09-23,53,77,---,6,27,14,SEDANG
2021-09-24,51,73,---,6,20,17,SEDANG
2021-09-25,45,64,---,4,24,12,SEDANG
2021-09-26,48,67,---,4,30,9,SEDANG
2021-09-27,51,78,---,9,22,18,SEDANG
2021-09-28,42,64,---,5,26,14,SEDANG
2021-09-29,56,87,---,11,34,19,SEDANG
2021-09-30,68,108,---,10,46,13,TIDAK SEHAT
2021-10-01,57,81,30,11,32,38,SEDANG
2021-10-02,67,99,32,11,30,35,SEDANG
2021-10-03,70,85,29,10,28,28,SEDANG
2021-10-04,58,82,30,11,34,29,SEDANG
2021-10-05,55,76,29,11,30,33,SEDANG
2021-10-06,60,83,38,10,26,35,SEDANG
2021-10-07,45,62,29,9,21,28,SEDANG
2021-10-08,54,77,33,11,24,35,SEDANG
2021-10-09,52,69,27,9,32,29,SEDANG
2021-10-10,58,83,26,9,38,26,SEDANG
2021-10-11,59,80,29,10,35,30,SEDANG
2021-10-12,56,76,37,9,23,35,SEDANG
2021-10-13,52,67,28,8,25,31,SEDANG
2021-10-14,64,90,33,11,35,35,SEDANG
2021-10-15,75,106,29,12,34,37,TIDAK SEHAT
2021-10-16,66,95,28,15,32,44,SEDANG
2021-10-17,65,93,34,11,36,30,SEDANG
2021-10-18,44,55,25,9,19,26,SEDANG
2021-10-19,41,58,29,14,15,30,SEDANG
2021-10-20,33,53,29,10,21,27,SEDANG
2021-10-21,45,65,25,9,28,32,SEDANG
2021-10-22,64,95,31,18,19,48,SEDANG
2021-10-23,57,83,29,10,20,36,SEDANG
2021-10-24,58,85,27,11,28,36,SEDANG
2021-10-25,62,95,27,14,33,37,SEDANG
2021-10-26,55,78,29,14,23,43,SEDANG
2021-10-27,55,76,29,15,22,39,SEDANG
2021-10-28,51,69,28,16,22,39,SEDANG
2021-10-29,50,64,31,19,18,35,SEDANG
2021-10-30,48,68,31,12,25,40,SEDANG
2021-10-31,53,70,27,11,32,32,SEDANG
2021-10-01,57,84,59,10,65,16,SEDANG
2021-10-02,70,103,61,10,58,17,TIDAK SEHAT
2021-10-03,64,86,62,11,53,18,SEDANG
2021-10-04,62,95,60,11,64,24,SEDANG
2021-10-05,65,90,67,11,54,27,SEDANG
2021-10-06,65,91,66,9,58,23,SEDANG
2021-10-07,49,64,60,9,50,20,SEDANG
2021-10-08,60,85,64,10,54,20,SEDANG
2021-10-09,53,77,62,9,60,19,SEDANG
2021-10-10,60,83,61,9,72,12,SEDANG
2021-10-11,68,100,64,12,66,26,SEDANG
2021-10-12,77,105,76,12,49,31,TIDAK SEHAT
2021-10-13,57,76,63,9,58,18,SEDANG
2021-10-14,73,105,65,12,70,28,TIDAK SEHAT
2021-10-15,82,108,64,13,64,27,TIDAK SEHAT
2021-10-16,64,95,63,13,63,28,SEDANG
2021-10-17,71,---,63,12,65,22,SEDANG
2021-10-18,50,60,58,9,45,13,SEDANG
2021-10-19,46,63,60,16,42,29,SEDANG
2021-10-20,50,67,73,11,50,26,SEDANG
