pm10(t-1),pm10(t),pm25(t-1),pm25(t),so2(t-1),so2(t),co(t-1),co(t),o3(t-1),o3(t),no2(t-1),no2(t),categori(t-1),categori(t),categori(t+1)
0.145454545454545,0.0787878787878788,0.248447204968944,0.204968944099379,0.3375,0.3125,0.0888888888888889,0.111111111111111,0.160839160839161,0.272727272727273,0.1875,0.09375,1,0,1
0.0787878787878788,0.181818181818182,0.204968944099379,0.279503105590062,0.3125,0.2875,0.111111111111111,0.111111111111111,0.272727272727273,0.223776223776224,0.09375,0.1875,0,1,0
0.181818181818182,0.096969696969697,0.279503105590062,0.217391304347826,0.2875,0.275,0.111111111111111,0.0444444444444445,0.223776223776224,0.167832167832168,0.1875,0.09375,1,0,1
0.096969696969697,0.145454545454545,0.217391304347826,0.248447204968944,0.275,0.275,0.0444444444444445,0.0888888888888889,0.167832167832168,0.160839160839161,0.09375,0.125,0,1,1
0.145454545454545,0.163636363636364,0.248447204968944,0.279503105590062,0.275,0.2625,0.0888888888888889,0.244444444444445,0.160839160839161,0.265734265734266,0.125,0.1875,1,1,0
0.163636363636364,0.127272727272727,0.279503105590062,0.211180124223603,0.2625,0.25,0.244444444444445,0.0888888888888889,0.265734265734266,0.216783216783217,0.1875,0.140625,1,0,1
0.127272727272727,0.139393939393939,0.211180124223603,0.254658385093168,0.25,0.3,0.0888888888888889,0.311111111111111,0.216783216783217,0.0629370629370629,0.140625,0.140625,0,1,1
0.139393939393939,0.2,0.254658385093168,0.298136645962733,0.3,0.175,0.311111111111111,0.555555555555556,0.0629370629370629,0.0979020979020979,0.140625,0.171875,1,1,0
0.2,0.0545454545454546,0.298136645962733,0.0745341614906832,0.175,0.175,0.555555555555556,0.2,0.0979020979020979,0.174825174825175,0.171875,0.109375,1,0,1
0.0545454545454546,0.145454545454545,0.0745341614906832,0.254658385093168,0.175,0.1875,0.2,0.266666666666667,0.174825174825175,0.132867132867133,0.109375,0.140625,0,1,0
0.145454545454545,0.0909090909090909,0.254658385093168,0.229813664596273,0.1875,0.225,0.266666666666667,0.222222222222222,0.132867132867133,0.125874125874126,0.140625,0.21875,1,0,0
0.0909090909090909,0.121212121212121,0.229813664596273,0.192546583850932,0.225,0.1875,0.222222222222222,0.244444444444445,0.125874125874126,0.0839160839160839,0.21875,0.125,0,0,1
0.121212121212121,0.133333333333333,0.192546583850932,0.273291925465839,0.1875,0.1625,0.244444444444445,0.288888888888889,0.0839160839160839,0.125874125874126,0.125,0.1875,0,1,1
0.133333333333333,0.16969696969697,0.273291925465839,0.304347826086957,0.1625,0.15,0.288888888888889,0.288888888888889,0.125874125874126,0.167832167832168,0.1875,0.171875,1,1,1
0.16969696969697,0.23030303030303,0.304347826086957,0.372670807453416,0.15,0.1625,0.288888888888889,0.333333333333333,0.167832167832168,0.118881118881119,0.171875,0.203125,1,1,1
0.23030303030303,0.23030303030303,0.372670807453416,0.360248447204969,0.1625,0.1875,0.333333333333333,0.288888888888889,0.118881118881119,0.125874125874126,0.203125,0.203125,1,1,1
0.23030303030303,0.157575757575758,0.360248447204969,0.242236024844721,0.1875,0.175,0.288888888888889,0.2,0.125874125874126,0.125874125874126,0.203125,0.171875,1,1,0
0.157575757575758,0.103030303030303,0.242236024844721,0.173913043478261,0.175,0.1375,0.2,0.222222222222222,0.125874125874126,0.118881118881119,0.171875,0.171875,1,0,0
0.103030303030303,0.127272727272727,0.173913043478261,0.130434782608696,0.1375,0.125,0.222222222222222,0.222222222222222,0.118881118881119,0.0979020979020979,0.171875,0.1875,0,0,1
0.127272727272727,0.175757575757576,0.130434782608696,0.236024844720497,0.125,0.1375,0.222222222222222,0.266666666666667,0.0979020979020979,0.13986013986014,0.1875,0.21875,0,1,1
0.175757575757576,0.212121212121212,0.236024844720497,0.31055900621118,0.1375,0.15,0.266666666666667,0.266666666666667,0.13986013986014,0.13986013986014,0.21875,0.21875,1,1,2
0.212121212121212,0.351515151515152,0.31055900621118,0.590062111801242,0.15,0.15,0.266666666666667,0.911111111111111,0.13986013986014,0.251748251748252,0.21875,0.296875,1,2,0
0.351515151515152,0.115151515151515,0.590062111801242,0.217391304347826,0.15,0.125,0.911111111111111,0.266666666666667,0.251748251748252,0.104895104895105,0.296875,0.140625,2,0,1
0.115151515151515,0.254545454545455,0.217391304347826,0.428571428571429,0.125,0.1375,0.266666666666667,0.6,0.104895104895105,0.377622377622378,0.140625,0.21875,0,1,1
